"name","ring","quadrant","isNew","description"
React JS,trial,Frameworks and libraries,TRUE,"<p>In the crowded landscape of front-end <a href=""https://ossinsight.io/collections/javascript-framework/"">JavaScript frameworks</a>, <a href=""https://react.dev/"">React.js</a> shows promise due to its reactive data flow, one-way data binding, and component-based architecture, which simplify rendering, promote code reuse, and make applications easier to maintain. Its virtual DOM enhances performance by minimizing unnecessary updates, and a rich ecosystem of libraries combined with strong community support accelerates development and troubleshooting. React.js is a mature and well-established framework, widely used across the globe—with surveys consistently ranking it among the top front-end frameworks—making it a low-risk choice to explore. We are currently trialing its use across projects of varying sizes while continuing to monitor alternatives like AngularJS, and based on initial observations, React.js could be a recommended technology for future front-end development.</p>"
Testcontainers,trial,Frameworks and libraries,TRUE,"<p><a href=""https://testcontainers.com/"">Testcontainers</a> is a library that provides lightweight, throwaway instances of databases, message brokers, web browsers, and other services running in Docker containers for integration testing. Originally developed for Java, Testcontainers now supports multiple languages including Python, Go, .NET, Node.js, and Rust, making it a polyglot solution for integration testing challenges. We&#39;re seeing strong adoption of Testcontainers as it addresses a longstanding pain point in integration testing — the gap between local development environments and production infrastructure. The library enables developers to write tests against real services rather than mocks or in-memory alternatives, significantly improving test reliability and confidence. Testcontainers supports a wide range of technologies through official modules (PostgreSQL, MySQL, Kafka, Redis, etc.) and generic container support for custom scenarios. Teams report that while initial setup requires Docker infrastructure, the investment pays off through reduced environment-related test failures and simplified CI/CD pipelines. We&#39;re placing Testcontainers in <strong>trial</strong> based on successful implementations across our projects. The main considerations are Docker runtime requirements and slightly longer test execution times compared to in-memory alternatives. However, the trade-off is worthwhile for projects requiring robust integration testing, particularly those working with complex data stores or distributed systems. Teams should ensure their CI environments support Docker and consider selective usage for critical integration paths.</p>"
Cypress,assess,Frameworks and libraries,TRUE,"<p><a href=""https://www.cypress.io/"">Cypress</a> is a JavaScript-based end-to-end testing framework that runs directly in the browser, offering a fundamentally different architecture from traditional Selenium-based tools. We&#39;re seeing increasing interest in Cypress due to its developer-friendly API, automatic waiting mechanisms, and superior debugging capabilities with time-travel snapshots. The framework excels at testing modern single-page applications and provides built-in support for API testing alongside UI tests. However, teams should be aware of its browser limitations—while it supports Chrome, Edge, and Firefox well, Safari support remains limited to paid tiers. We&#39;re placing Cypress in <strong>assess</strong> to encourage teams to evaluate it on greenfield projects where its benefits can be fully realized. Projects with existing Selenium investments should carefully consider the migration effort and team training requirements. Despite these considerations, Cypress&#39;s architecture addresses many pain points of traditional E2E testing, making it a compelling option for teams struggling with test reliability and maintenance overhead.</p>"
Quarkus,assess,Frameworks and libraries,TRUE,"<p>Quarkus is a Kubernetes-native Java framework that optimises for fast startup, low memory usage, and developer productivity (live reload, unified configuration). It supports GraalVM native images and integrates with Jakarta EE, MicroProfile and popular libraries.</p> <p>When to use</p> <ul> <li>New greenfield microservices, serverless functions or services where startup time and memory matter.</li> </ul> <p>Trade-offs</p> <ul> <li>Native-image builds increase CI complexity and time; some libraries need adaptation for native mode.</li> </ul> <p>Recommended action</p> <ul> <li>Adopt for new cloud-native Java services; assess migrations carefully and plan native-image builds and testing early. Develop and test with a Kubernetes environment in mind (see <a href=""https://www.jetbrains.com/help/idea/quarkus.html"">IntelliJ Quarkus support</a> and <a href=""Kubernetes"">Kubernetes</a>).</li> </ul>"
ApexCharts,hold,Frameworks and libraries,TRUE,"<p><a href=""https://apexcharts.com/"">ApexCharts</a> is a popular JavaScript charting library known for its simplicity, modern aesthetics, and rich set of features for building interactive visualizations. It has been widely adopted in web applications for rendering dynamic charts with minimal configuration and solid documentation.</p> <p>However, as of <strong>June 2025</strong>, ApexCharts has changed its <strong>licensing terms</strong> to require a paid license for <strong>commercial or business use</strong>. This shift has significant implications for enterprise projects, especially in environments that prioritize open-source or cost-neutral components.</p> <p>We place ApexCharts in the <strong>Hold</strong> ring due to this licensing change. While technically still a capable library, the updated licensing model introduces <strong>compliance, cost, and procurement overhead</strong> that makes it less attractive for continued or new usage in business contexts. Teams should <strong>reconsider its use for new projects</strong> and evaluate alternatives with more permissive licenses such as <a href=""https://www.chartjs.org/"">Chart.js</a>, <a href=""https://echarts.apache.org/en/index.html"">ECharts</a>, or <a href=""https://github.com/plotly/plotly.py"">Plotly</a> (open-core).</p>"
ASP.NET,hold,Frameworks and libraries,TRUE,"<p><strong><a href=""https://learn.microsoft.com/en-us/aspnet/overview"">ASP.NET</a></strong> is an <strong>older</strong> web framework that is <strong>no longer actively developed and receives only minimal maintenance updates</strong>. Developers should hold off on adopting classic ASP.NET for new projects, as it lacks many modern features, performance improvements, and cross-platform capabilities found in <strong><a href=""ASP.NET Core"">ASP.NET Core</a></strong>. For future-proof, scalable, and maintainable applications, it is recommended to use ASP.NET Core instead.</p>"
AutoMapper,hold,Frameworks and libraries,TRUE,"<p><strong><a href=""https://automapper.org/"">AutoMapper</a></strong> is a popular library that simplifies object-to-object mapping, reducing boilerplate code when transferring data between models and DTOs. However, as of 2024, AutoMapper has <strong>moved to a commercial license for new versions</strong>, requiring payment for continued use in many scenarios. Developers should hold off on adopting AutoMapper for new projects unless they are comfortable with the licensing costs.</p> <p>For most use cases, <strong>alternatives like <a href=""https://github.com/MapsterMapper/Mapster"">Mapster</a></strong> offer similar functionality with a more permissive license and active development. Consider evaluating these alternatives before committing to AutoMapper.</p>"
Bootstrap,hold,Frameworks and libraries,TRUE,"<p>Bootstrap is a popular front-end framework based on HTML, CSS, and JavaScript that facilitates the rapid development of consistent and adaptive web interfaces. Its grid system and predefined components streamline prototyping and the creation of responsive layouts.</p> <p>Although it was a key tool for many years, its adoption has <a href=""https://2023.stateofcss.com/en-US/css-frameworks/#bootstrap"">declined</a> with the rise of modern frameworks such as Tailwind CSS, Material UI, and native React or Vue components. Bootstrap often results in visually uniform and less customizable interfaces, while adding unnecessary weight to the front end. Maintaining Bootstrap implies accepting a rigid visual coupling and a high technical cost in future refactoring efforts. In addition, frequent security vulnerabilities demand ongoing maintenance to apply updates.</p> <p>It is recommended to keep Bootstrap only in legacy projects and plan its eventual migration, while avoiding its use in new initiatives in favor of more modular and maintainable alternatives.</p>"
.NET Framework,hold,Frameworks and libraries,TRUE,"<p><strong><a href=""https://dotnet.microsoft.com/en-us/download/dotnet-framework"">.NET Framework</a></strong> is a <strong>legacy platform that is no longer actively developed, receiving only critical maintenance and security updates</strong>. Developers should hold off on adopting the old .NET Framework for new projects, as it lacks the performance, cross-platform support, and <strong>modern features available in the latest <a href=""https://dotnet.microsoft.com/en-us/"">.NET</a></strong> versions. For new development, it is recommended to use modern .NET, which offers better scalability, maintainability, and future-proofing.</p>"
jQuery,hold,Frameworks and libraries,TRUE,"<p><a href=""https://jquery.com/"">jQuery</a> is a JavaScript library that simplifies DOM manipulation, event handling, and AJAX requests, providing cross-browser compatibility and concise syntax for interacting with HTML elements. It was a cornerstone of front-end web development for more than a decade, enabling developers to build interactive and dynamic interfaces with far less code compared to vanilla JavaScript.</p> <p>However, its usage has drastically declined with the <a href=""https://2023.stateofjs.com/en-US/other-tools/#libraries"">rise of modern frameworks</a> and libraries such as React, Vue, and Svelte, as well as the improvement of native browser APIs that make DOM manipulation more efficient and standardized. In new projects, jQuery introduces unnecessary complexity and potential performance overhead. It is advisable to retain it only in legacy systems and plan its gradual removal to improve maintainability, scalability, and performance consistency.</p>"
MediatR,hold,Frameworks and libraries,TRUE,"<p>MediatR is a popular open-source .NET library that implements the <a href=""https://en.wikipedia.org/wiki/Mediator_pattern"">Mediator pattern</a> for in-process messaging, often used to help enforce Command Query Responsibility Segregation (<a href=""CQRS"">CQRS</a>) and vertical slice architecture. It decouples the request sender (e.g., a controller) from the request handler (the business logic) by routing commands and queries to their respective single handlers, and publishing notifications to multiple handlers. This separation aims to reduce controller &quot;constructor explosion&quot; and enforce the Single Responsibility Principle.</p> <p>MediatR has recently transitioned from a fully permissive open-source license (MIT) to a dual-license model (Reciprocal Public License 1.5/Commercial).</p>"
Newtonsoft.Json,hold,Frameworks and libraries,TRUE,"<p><a href=""https://www.newtonsoft.com/json"">Newtonsoft.Json</a> has long been the dominant JSON library for .NET, offering rich features like LINQ to JSON (JObject/JArray), custom converters, and extensive contract customization. It remains a mature, high-quality library with broad community adoption and a proven track record across enterprise systems.</p> <p>However, it’s now placed in the <strong>Hold</strong> ring due to strategic and ecosystem reasons rather than technical shortcomings. The .NET platform has fully matured its native <a href=""https://learn.microsoft.com/en-us/dotnet/api/system.text.json"">System.Text.Json</a> library, which provides high-performance, memory-efficient serialization and is now the framework default. Maintaining dual serialization stacks adds unnecessary complexity, increases maintenance effort, and complicates cross-library type handling.</p> <p>Teams should avoid new dependencies on Newtonsoft.Json and migrate gradually to System.Text.Json unless a legacy contract or polymorphic converter still mandates it. Hold does not imply removal but signals that continued new adoption no longer aligns with platform direction or maintainability goals.</p>"
Clean Architecture,adopt,Patterns and Practices,TRUE,"<p><a href=""https://blog.cleancoder.com/uncle-bob/2012/08/13/the-clean-architecture.html"">Clean Architecture</a> is a software design approach that emphasizes separation of concerns, independence from frameworks, and testability by organizing code into concentric layers with strict dependency rules. The core principle is that dependencies point inward toward business logic, ensuring the domain layer remains independent of external concerns like UI, databases, or frameworks. Various implementations exist including <strong>layered architecture</strong>, <strong>hexagonal architecture</strong>, and <strong>ports and adapters</strong> patterns, all sharing the goal of decoupling business rules from infrastructure details.</p> <p>Clean Architecture provides significant benefits including improved testability through isolated business logic, flexibility to swap frameworks or databases without impacting core functionality, and clearer code organization that aids long-term maintainability. Teams adopting these patterns consistently report better separation between domain logic and technical implementation, making systems easier to understand, modify, and extend. We&#39;re placing Clean Architecture in <strong>adopt</strong> based on its proven effectiveness across projects of varying sizes and complexity. Teams should apply these principles pragmatically, understanding that the investment in proper layering and dependency management pays dividends through reduced coupling and enhanced maintainability. For new projects and major refactoring efforts, particularly with frameworks like <a href=""Spring Boot"">Spring Boot</a>, Clean Architecture provides a solid foundation for building sustainable, evolvable systems.</p>"
Continuous delivery,adopt,Patterns and Practices,TRUE,"<p><a href=""https://docs.aws.amazon.com/es_es/wellarchitected/latest/devops-guidance/continuous-delivery.html"">Continuous Delivery (CD)</a> automates the preparation and deployment of software, enabling each version to be potentially releasable at any time. This practice relies on automated pipelines that validate, package, and deploy changes consistently. It takes after <a href=""Continuous integration"">Continuous integration</a>. </p> <p>Its implementation ensures a traceable, automated software lifecycle aligned with principles of observability and immutable deployments. It also increases delivery speed, operational stability, and business responsiveness. By reducing manual errors and facilitating a predictable deployment flow, Continuous Delivery (CD) becomes a key pillar for multi-organization ecosystems or environments with multiple production stages. It further enhances collaboration between development and operations [DevOps] (../PP/devops.md) teams.</p>"
Continuous integration,adopt,Patterns and Practices,TRUE,"<p><a href=""https://www.atlassian.com/continuous-delivery/continuous-integration"">Continuous Integration (CI)</a> is a <a href=""DevOps"">DevOps</a> practice that automates code compilation, testing, and validation every time a developer makes changes to the repository. It ensures that the software remains always integrable and functional.</p> <p>Adopting <a href=""https://docs.aws.amazon.com/es_es/wellarchitected/latest/devops-guidance/continuous-integration.html"">Continuous Integration (CI)</a> allows teams to detect issues early, improve code quality, and reduce integration time across teams. Continuous Integration promotes discipline in collaborative development and sets the foundation for more advanced practices such as <a href=""Continuous delivery"">Continuous delivery</a> and test automation. In complex or distributed enterprise environments, Continuous Integration (CI) adoption is a need and results in greater traceability, source code consistency, and version control.</p>"
DevOps,adopt,Patterns and Practices,TRUE,"<p>What</p> <ul> <li>DevOps is the combination of cultural practices, automation, and measurable operational processes (CI/CD, Infrastructure as Code, automated testing, observability, and continuous delivery) that enable fast, safe, repeatable delivery of software.</li> </ul> <p>Why now</p> <ul> <li>Business demands faster delivery and reliable operations. DevOps reduces lead time, increases deployment frequency and improves recovery time with small, testable changes and continuous feedback loops.</li> </ul> <p>When to adopt</p> <ul> <li>Adopt when you need faster iteration, better alignment between teams, predictable releases, and improved reliability. Start with CI, trunk-based development, automated tests, and progressive delivery; grow toward IaC, observability and SRE practices.</li> </ul> <p>Considerations</p> <ul> <li>Culture change is the hardest part: invest in cross-functional teams, shared SLIs/SLOs, and blameless postmortems.</li> <li>Prioritize automation and incremental rollout; avoid big-bang transformations.</li> <li>Secure by design: integrate security checks early (shift-left).</li> </ul> <p>Key practices</p> <ul> <li>Continuous Integration / Continuous Delivery (CI/CD)</li> <li>Infrastructure as Code (Terraform, CloudFormation)</li> <li>Observability (metrics, logs, traces)</li> <li>Trunk-based development and feature flags</li> <li>Blameless postmortems and SLO-driven operations</li> </ul> <p>Further reading</p> <ul> <li><a href=""https://about.google/intl/en/products/sre/"">https://about.google/intl/en/products/sre/</a></li> <li><a href=""https://martinfowler.com/bliki/ContinuousDelivery.html"">https://martinfowler.com/bliki/ContinuousDelivery.html</a></li> <li><a href=""https://12factor.net"">https://12factor.net</a></li> </ul>"
Git branching strategies,adopt,Patterns and Practices,TRUE,"<p>The chosen <a href=""https://docs.aws.amazon.com/prescriptive-guidance/latest/choosing-git-branch-approach/git-branching-strategies.html"">branching strategies</a> directly impacts integration frequency, release management, and the overall developer experience. While branching provides isolation and safety, too much structure can slow teams down, while too little governance can lead to instability. Two commonly adopted strategies illustrate this balance:</p> <p>GitFlow represents a more structured approach with dedicated branches for features, releases, hotfixes, and long-term maintenance. It introduces a clear separation between ongoing development and production-ready code, making it suitable for teams that manage multiple release versions or operate under strict release governance. However, this structure comes with operational overhead and may slow down integration cycles if not automated and disciplined.</p> <p>Trunk-Based Development (TBD) takes a contrasting approach by encouraging developers to integrate changes directly into the main branch or through very short-lived feature branches. This strategy emphasizes continuous integration, frequent merging, and rapid feedback loops, making it a strong fit for CI/CD-driven teams aiming for fast and incremental delivery. While it reduces complexity and merge conflicts, it relies heavily on strong automation and testing practices to maintain stability.</p>"
Infrastructure as Code,adopt,Patterns and Practices,TRUE,"<p><a href=""https://en.wikipedia.org/wiki/Infrastructure_as_code"">Infrastructure as Code</a> expresses compute, network, storage, and platform configuration as versioned, reviewable code. Declarative definitions produce reproducible environments, reduce configuration drift, and make changes auditable. Provisioning tools such as Terraform manage cloud and on-prem resources, while Ansible and image builders like Packer configure operating systems and middleware. Kubernetes manifests are packaged with Helm or shaped with Kustomize and reconciled by GitOps controllers such as Argo CD or Flux.  Guardrails arise naturally from the workflow: pull requests, automated plans, policy checks, and continuous reconciliation highlight unintended changes before they reach production. Secrets remain outside version control in a vault or KMS, and remote state backends provide locking and encryption. The result is faster recovery through re-creation, consistent environments across data centers, and a clear change history that satisfies operational and compliance needs.</p>"
Microfrontends,adopt,Patterns and Practices,TRUE,"<p>Microfrontends extend <a href=""Microservices"">Microservices</a> principles to frontend development by decomposing user interfaces into independently deployable, team-owned modules that compose at runtime or build time. Each microfrontend encapsulates a business domain with its own technology stack, deployment pipeline, and lifecycle, integrating through framework-agnostic patterns like <a href=""https://www.webcomponents.org/"">web components</a>, module federation, iframe isolation, or server-side composition. Common integration approaches include <a href=""https://webpack.js.org/concepts/module-federation/"">Webpack Module Federation</a> for runtime sharing, <a href=""https://single-spa.js.org/"">single-spa</a> for framework orchestration, or edge-side composition with CDN routing. The architecture enables autonomous team velocity with independent deployments, technology diversity for evolving frameworks, and incremental migration from monolithic frontends. Challenges include managing shared dependencies to prevent bundle duplication, coordinating cross-cutting concerns like authentication and styling, maintaining consistent UX across boundaries, and ensuring performance with multiple framework runtimes. Adopt microfrontends for large-scale applications with multiple teams requiring independent delivery cadences and clear domain boundaries, establishing governance for shared libraries, design systems, and communication protocols between modules.</p>"
OpenID Connect,adopt,Patterns and Practices,TRUE,"<p><a href=""https://openid.net/developers/how-connect-works/"">OpenID Connect</a> (OIDC) is an identity layer built on top of the OAuth 2.0 protocol that enables secure user authentication and single sign-on (SSO) across applications. It allows clients to verify the identity of an end user based on authentication performed by an authorization server, and to obtain basic profile information in an interoperable and REST-like manner. OIDC introduces the concept of an ID Token, a JSON Web Token (JWT) that contains claims about the user and the authentication event. It supports flows like Authorization Code, Implicit, and Hybrid, making it suitable for both server-side and client-side applications. By leveraging standard endpoints (e.g., /authorize, /token, /userinfo), OIDC simplifies integration with identity providers such as Google, Azure AD, and Okta.</p> <p>It is widely adopted for modern architectures, including microservices and APIs, because it provides a secure, standardized way to handle authentication without managing credentials directly.</p>"
Structured Logging,adopt,Patterns and Practices,TRUE,"<p><strong>Structured logging</strong> provides significant benefits by capturing log data in a consistent, machine-readable format, such as JSON. This approach enables powerful analytics and querying capabilities, making it easier to identify patterns, troubleshoot issues, and monitor application health. Structured logs are especially practical during load tests and high-traffic scenarios, as they allow for efficient aggregation and analysis of large volumes of data. By adopting structured logging, teams can improve observability, streamline debugging, and gain deeper insights into system behavior.</p>"
Agile Development,trial,Patterns and Practices,TRUE,"<p>Agile development is an iterative and people-centric approach to software delivery, governed by the [<strong>Agile Manifesto</strong>&#39;s] (<a href=""https://agilemanifesto.org/"">https://agilemanifesto.org/</a>) four values and twelve principles. It prioritizes <strong>Individuals and interactions</strong> over processes and tools, <strong>Working software</strong> over comprehensive documentation, <strong>Customer collaboration</strong> over contract negotiation, and <strong>Responding to change</strong> over following a plan. It breaks work into short, fixed-length cycles (<strong>Sprints</strong> or iterations), with frequent feedback loops and continuous delivery of working software, allowing teams to adapt quickly to evolving requirements and customer needs. Agile benefits are proven, its successful adoption is highly dependent on organizational and team maturity, but it introduces new risks.</p> <p>A new project should selectively pilot Agile practices (like daily stand-ups, short iterations, and continuous integration) to test the team&#39;s ability to live the Agile mindset. Simply &quot;doing&quot; the rituals without the underlying culture of collaboration, self-organization, and unwavering customer focus (the &quot;being&quot; Agile part) can lead to <strong>scope creep</strong>, <strong>technical debt</strong>, and a <strong>lack of predictability</strong>. The project must first validate that the organization is ready to provide active customer involvement and empowered, cross-functional teams before scaling up.</p>"
API First,trial,Patterns and Practices,TRUE,"<p><a href=""https://www.postman.com/api-first"">API First</a> is an approach to software design where APIs are treated as first-class citizens and defined before any implementation begins. Instead of building an application and then exposing APIs as an afterthought, teams start by designing the API contract—often using specifications like OpenAPI or AsyncAPI—to ensure clarity, consistency, and interoperability.</p> <p>This approach is currently used succesfully by many teams in our group, and we encourage others to try it in their future projects. Designing APIs first promotes <strong>consumer-driven design</strong>, enabling <strong>parallel development across teams</strong>, better <strong>alignment with business requirements</strong>, and seamless <strong>integration within distributed or microservices architectures</strong>. It also supports automated workflows such as <strong>mock servers</strong>, <a href=""Contract testing"">Contract testing</a>, and <strong>code generation</strong>, helping reduce errors and accelerate delivery. By prioritizing APIs early, organizations create more <strong>maintainable</strong>, <strong>scalable</strong>, and <strong>reusable services</strong>, which is critical for modern ecosystems where APIs are the backbone of digital platforms.</p>"
CQRS,trial,Patterns and Practices,TRUE,"<p><a href=""https://martinfowler.com/bliki/CQRS.html"">CQRS (Command Query Responsibility Segregation)</a> separates read and write operations into distinct models where commands modify state through domain logic enforcing business rules while queries retrieve data optimized for specific use cases without side effects. This enables independent scaling and evolution of read/write paths, particularly valuable in high-throughput systems with asymmetric patterns. CQRS pairs naturally with <a href=""https://martinfowler.com/eaaDev/EventSourcing.html"">event sourcing</a> for audit trails and temporal queries, allowing varied projections of the same data—customer views, fulfillment operations, analytics, search—each optimized for access patterns and consistency requirements. The pattern introduces complexity through synchronization mechanisms, eventual consistency reasoning, projection rebuilds, and schema evolution across models, often via <a href=""Event-driven architecture"">Event-driven architecture</a> or message queues. Trial CQRS in bounded contexts with high read/write asymmetry, specialized query needs, complex domain logic, or audit requirements, avoiding simple CRUD operations or scenarios requiring strict immediate consistency.</p>"
