"name","ring","quadrant","isNew","status","description"
Quarkus,trial,Frameworks and libraries,FALSE,moved in,"<p>Quarkus is a Kubernetes-native Java framework that optimises for fast startup, low memory usage, and developer productivity (live reload, unified configuration). It supports GraalVM native images and integrates with Jakarta EE, MicroProfile and popular libraries.</p> <p>When to use</p> <ul> <li>New greenfield microservices, serverless functions or services where startup time and memory matter.</li> </ul> <p>Trade-offs</p> <ul> <li>Native-image builds increase CI complexity and time; some libraries need adaptation for native mode.</li> </ul> <p>Recommended action</p> <ul> <li>Adopt for new cloud-native Java services; assess migrations carefully and plan native-image builds and testing early. Develop and test with a Kubernetes environment in mind (see <a href=""https://www.jetbrains.com/help/idea/quarkus.html"">IntelliJ Quarkus support</a> and <a href=""Kubernetes"">Kubernetes</a>).</li> </ul>"
ApexCharts,hold,Frameworks and libraries,FALSE,no change,"<p><a href=""https://apexcharts.com/"">ApexCharts</a> is a popular JavaScript charting library known for its simplicity, modern aesthetics, and rich set of features for building interactive visualizations. It has been widely adopted in web applications for rendering dynamic charts with minimal configuration and solid documentation.</p> <p>However, as of <strong>June 2025</strong>, ApexCharts has changed its <strong>licensing terms</strong> to require a paid license for <strong>commercial or business use</strong>. This shift has significant implications for enterprise projects, especially in environments that prioritize open-source or cost-neutral components.</p> <p>We place ApexCharts in the <strong>Hold</strong> ring due to this licensing change. While technically still a capable library, the updated licensing model introduces <strong>compliance, cost, and procurement overhead</strong> that makes it less attractive for continued or new usage in business contexts. Teams should <strong>reconsider its use for new projects</strong> and evaluate alternatives with more permissive licenses such as <a href=""https://www.chartjs.org/"">Chart.js</a>, <a href=""https://echarts.apache.org/en/index.html"">ECharts</a>, or <a href=""https://github.com/plotly/plotly.py"">Plotly</a> (open-core).</p>"
ASP.NET,hold,Frameworks and libraries,FALSE,no change,"<p><strong><a href=""https://learn.microsoft.com/en-us/aspnet/overview"">ASP.NET</a></strong> is an <strong>older</strong> web framework that is <strong>no longer actively developed and receives only minimal maintenance updates</strong>. Developers should hold off on adopting classic ASP.NET for new projects, as it lacks many modern features, performance improvements, and cross-platform capabilities found in <strong><a href=""ASP.NET Core"">ASP.NET Core</a></strong>. For future-proof, scalable, and maintainable applications, it is recommended to use ASP.NET Core instead.</p>"
AutoMapper,hold,Frameworks and libraries,FALSE,no change,"<p><strong><a href=""https://automapper.org/"">AutoMapper</a></strong> is a popular library that simplifies object-to-object mapping, reducing boilerplate code when transferring data between models and DTOs. However, as of 2024, AutoMapper has <strong>moved to a commercial license for new versions</strong>, requiring payment for continued use in many scenarios. Developers should hold off on adopting AutoMapper for new projects unless they are comfortable with the licensing costs.</p> <p>For most use cases, <strong>alternatives like <a href=""https://github.com/MapsterMapper/Mapster"">Mapster</a></strong> offer similar functionality with a more permissive license and active development. Consider evaluating these alternatives before committing to AutoMapper.</p>"
.NET Framework,hold,Frameworks and libraries,FALSE,no change,"<p><strong><a href=""https://dotnet.microsoft.com/en-us/download/dotnet-framework"">.NET Framework</a></strong> is a <strong>legacy platform that is no longer actively developed, receiving only critical maintenance and security updates</strong>. Developers should hold off on adopting the old .NET Framework for new projects, as it lacks the performance, cross-platform support, and <strong>modern features available in the latest <a href=""https://dotnet.microsoft.com/en-us/"">.NET</a></strong> versions. For new development, it is recommended to use modern .NET, which offers better scalability, maintainability, and future-proofing.</p>"
jQuery,hold,Frameworks and libraries,FALSE,no change,"<p><a href=""https://jquery.com/"">jQuery</a> is a JavaScript library that simplified DOM manipulation, event handling, and AJAX requests with cross-browser compatibility. It was a cornerstone of front-end development for over a decade, but the problems it solved are now handled by the platform itself: standardised DOM APIs, <code>fetch</code>, modern ECMAScript, and component-based frameworks like <a href=""https://react.dev/"">React</a>, <a href=""https://vuejs.org/"">Vue</a>, <a href=""https://angular.dev/"">Angular</a> and Svelte. Carrying jQuery alongside a modern framework adds bundle size, duplicates paradigms, and lets direct DOM mutation fight the framework&#39;s reconciliation, leading to subtle bugs and degraded performance. Its plugin ecosystem is also a recurring source of XSS and prototype-pollution advisories, and many plugins are no longer maintained.</p> <p>Our position is <strong>Hold and plan removal</strong>: no new code on jQuery, including in legacy screens; teams owning applications that still depend on it should put a concrete migration plan in place—replacing plugins with framework-native components, <code>$.ajax</code> with <code>fetch</code>/<code>axios</code>, and selectors with standard DOM APIs—and treat the remaining usage as technical debt with an owner and a target removal date rather than a permanent state.</p>"
MediatR,hold,Frameworks and libraries,FALSE,no change,"<p>MediatR is a popular open-source .NET library that implements the <a href=""https://en.wikipedia.org/wiki/Mediator_pattern"">Mediator pattern</a> for in-process messaging, often used to help enforce Command Query Responsibility Segregation (<a href=""CQRS"">CQRS</a>) and vertical slice architecture. It decouples the request sender (e.g., a controller) from the request handler (the business logic) by routing commands and queries to their respective single handlers, and publishing notifications to multiple handlers. This separation aims to reduce controller &quot;constructor explosion&quot; and enforce the Single Responsibility Principle.</p> <p>MediatR has recently transitioned from a fully permissive open-source license (MIT) to a dual-license model (Reciprocal Public License 1.5/Commercial).</p>"
Agent Skills,adopt,Patterns and Practices,TRUE,new,"<p>As AI agents evolve from simple chat interfaces toward autonomous task execution, <a href=""Context Engineering"">Context Engineering</a> has become a critical challenge. <a href=""https://agentskills.io/"">Agent Skills</a> provide an open standard for modularizing context by packaging instructions, executable scripts and associated resources such as documentation. Agents load skills only when needed based on their descriptions, which reduces token consumption and mitigates context window exhaustion and problems such as agent instruction bloat.</p> <p>Skills have been adopted very quickly, not only in coding agents but also in personal assistants such as <a href=""https://openclaw.ai/"">OpenClaw</a>. They&#39;re also one reason teams are becoming more cautious about defaulting to MCP, as many use cases can be addressed just as effectively by pointing an agent at a local CLI or script.</p> <p>As their popularity has grown, the surrounding ecosystem has expanded as well. Plugin marketplaces such as one for <a href=""https://code.claude.com/docs/en/plugin-marketplaces"">Claude</a>, <a href=""https://developers.openai.com/codex/plugins"">Codex</a> and <a href=""https://cursor.com/docs/plugins"">Cursor</a> are emerging as a way to package, version and share skills, commands, MCP server integrations, and multiple efforts are exploring how to <a href=""https://agentskills.io/skill-creation/evaluating-skills"">evaluate skill</a> effectiveness. We do, however, caution against unreviewed reuse of third-party skills, as they introduce serious <a href=""https://snyk.io/blog/toxicskills-malicious-ai-agent-skills-clawhub/"">supply chain security risks</a>.</p>"
Agentic Engineering,adopt,Patterns and Practices,TRUE,new,"<p>Agentic engineering is the discipline of designing software delivery around AI agents that can take meaningful action: exploring code, planning changes, editing files, running checks, reviewing results, and handing work back to humans with traceable evidence. It is not just &quot;AI-assisted coding&quot;; it treats agents as part of the engineering workflow, with clear responsibilities, guardrails, and feedback loops. These workflows are already practical for everyday engineering tasks when kept simple and bounded, as reflected in Anthropic&#39;s guidance on <a href=""https://www.anthropic.com/index/building-effective-agents"">building effective agents</a>, OpenAI&#39;s <a href=""https://openai.com/business/guides-and-resources/a-practical-guide-to-building-ai-agents"">practical guide to building agents</a>, and Cursor&#39;s <a href=""https://www.cursor.com/blog/agent-best-practices"">agent best practices</a>.</p> <p>The practice depends heavily on <a href=""Context Engineering"">Context Engineering</a>. Agents perform best when they receive curated project knowledge, task boundaries, tool instructions, and fast feedback from tests and linters. Teams adopting agentic engineering should therefore invest in reusable context, well-scoped agent skills, deterministic quality gates, and human review points, so autonomy increases without losing accountability.</p>"
AI for development,adopt,Patterns and Practices,TRUE,new,"<p>AI for development extends and consolidates <a href=""../../2025.10/PP/ai-for-code-generation.md"">AI for code generation</a> from the previous radar. What we tracked a year ago as boilerplate scaffolding and snippet completion has matured into a coherent engineering practice that also covers spec-driven flow, review, testing, and documentation — pulling several adjacent radar entries into a single way of working. The engineer&#39;s role is shifting with it: from typing each line toward <strong>shaping intent, curating context, and approving outcomes</strong>.</p> <p>We see five modalities, each meaningful on its own and stronger when combined:</p> <ul> <li><strong>Spec-driven development</strong> — <a href=""../../2025.10/PP/spec-driven-development.md"">Spec-driven development</a> treats a <strong>living spec</strong> (plain-language goals, constraints, acceptance criteria) as the source of truth for agents that <strong>plan → scaffold → implement → validate</strong> through pull requests and checks. Tooling spans IDE/CLI flows like <a href=""https://kiro.dev/"">Kiro</a> (requirements → design → tasks), GitHub&#39;s <a href=""https://github.com/github/spec-kit/"">Spec Kit</a> (constitution + specify/plan/tasks loop), and <a href=""https://tessl.io/"">Tessl</a>, with similar patterns in <a href=""https://github.com/bmad-code-org/BMAD-METHOD"">BMAD</a> and <a href=""https://github.com/Fission-AI/OpenSpec"">OpenSpec</a>. Teams typically operate along three maturity levels — <em>spec-first</em> (spec guides one change), <em>spec-anchored</em> (spec persists and evolves), and <em>spec-as-source</em> (humans mostly edit specs; code syncs to them) — keeping human approval gates while encoding non-negotiables in the spec itself.</li> <li><strong>Code generation</strong> — In a year, the practical default has moved from inline autocomplete and snippet scaffolding to <strong><a href=""AI coding assistants"">AI coding assistants</a></strong> that read the repository, plan multi-file changes, run their own checks, and propose ready-to-review patches. <a href=""https://www.anthropic.com/claude-code"">Claude Code</a>,<a href=""https://github.com/openai/codex"">OpenAI Codex CLI</a>, <a href=""https://github.com/features/copilot"">GitHub Copilot</a> and <a href=""https://cursor.com/"">Cursor</a> are the common shapes. Treat generated code as a starting point — review it for correctness, security, and licence concerns, and lean on <a href=""Feedback Loops for Agents"">Feedback Loops for Agents</a> so that compilers, linters, and tests catch failures inside the agent&#39;s loop rather than in human review.</li> <li><strong>Code review</strong> — Building on <a href=""../../2025.10/PP/ai-for-code-review.md"">AI for code review</a>, our practice combines four modalities. <strong>IDE assistants</strong> flag issues during authoring. <strong>Native agent integrations</strong> post inline review comments directly on the PR — on <a href=""GitHub"">GitHub</a> via <a href=""https://code.claude.com/docs/en/github-actions"">Claude Code</a>, <a href=""https://developers.openai.com/codex/integrations/github"">Codex</a> and <a href=""https://docs.github.com/en/copilot/using-github-copilot/code-review"">GitHub Copilot code review</a>; on on-premise <a href=""GitLab"">GitLab</a> and <a href=""Azure DevOps"">Azure DevOps</a> via <a href=""https://code.claude.com/docs/en/gitlab-ci-cd"">Claude Code&#39;s GitLab CI/CD integration</a> or Codex CLI pipeline jobs (with marketplace extensions on Azure DevOps). <strong>Developer-triggered skill-based review</strong> has engineers run Claude Code or Codex CLI locally with predefined PR-review <a href=""Agent Skills"">Agent Skills</a> on their own merge or pull requests. Alongside these, <strong>in-house automated reviewer agents</strong> operate against local repository checkouts and post structured findings back to the PR. A useful side-effect we exploit: the same review pass is asked to flag when the change requires a documentation update, keeping docs aligned with code. We deliberately avoid additional third-party SaaS PR bots (CodeRabbit, Greptile, Sourcery and similar) because we are not willing to broaden the set of services that see our source code beyond the AI coding assistants we already vet. None of this replaces SAST/DAST/SCA or secret scanning.</li> <li><strong>Unit test generation</strong> — Picking up <a href=""../../2025.10/PP/ai-for-unit-tests-generation.md"">AI for unit tests generation</a>, AI is reliably good at filling test coverage <em>given a seed</em>: a handful of hand-written tests that establish the patterns and assertion style for the codebase. Teams encode that seed and the surrounding conventions as reusable <a href=""Agent Skills"">Agent Skills</a>, so test generation behaves consistently across services instead of reinventing style on every prompt. Developers stay accountable for choosing <strong>what</strong> to test — AI is a force multiplier on coverage and edge cases, not a substitute for thinking about the test spectrum. Unit tests are the developer-owned slice of testing; everything beyond — integration, <a href=""Contract testing"">Contract testing</a>, end-to-end, performance and exploratory testing with AI assistance — belongs to <a href=""AI for verification"">AI for verification</a>, where the broader QA practice is described.</li> <li><strong>Documentation authoring</strong> — <a href=""../../2025.10/PP/ai-for-documentation-authoring.md"">AI for documentation authoring</a> drafts user manuals, API references, ADRs, README updates, and inline comments, and performs gap analysis between code and existing docs. Concrete examples: deriving an OpenAPI description and SDK snippets from controllers, drafting an ADR from a sequence of related commits, summarizing release notes from PR titles, and turning a design discussion into a first-pass user-facing guide. Outputs are first drafts, not finished artefacts — humans still own voice, accuracy, and what <em>not</em> to publish.</li> </ul> <p>The compounding effect matters more than any single modality. Spec-driven flows scope what code generation produces; review agents close the gap between intent and implementation; test generation and documentation authoring stay in sync because the same context surfaces both. AI for development sits in the middle of a wider arc — <a href=""AI for requirements"">AI for requirements</a> shapes what to build, AI for development builds it, and <a href=""AI for verification"">AI for verification</a> confirms that it works — and it leans on foundations we adopt elsewhere on the radar: <a href=""Agentic Engineering"">Agentic Engineering</a>, <a href=""Context Engineering"">Context Engineering</a>, <a href=""Feedback Loops for Agents"">Feedback Loops for Agents</a>, <a href=""Progressive Context Disclosure"">Progressive Context Disclosure</a>, <a href=""Multi-Agent Workflows"">Multi-Agent Workflows</a>, and a <a href=""Product Context Pack"">Product Context Pack</a> per product.</p> <p>We are moving this practice to <strong>Adopt</strong> because teams that combine these modalities deliver faster, with fewer regressions, and onboard newcomers in days rather than weeks — though for junior engineers teams should consciously calibrate how much AI assistance is enabled, so coding fundamentals and a deep understanding of our product architecture still get learned rather than bypassed. The caveats stay: AI-generated code can be confidently wrong; review tools can hide risky changes when humans defer to them; coverage from AI-generated tests can mask shallow assertions; and accumulated AI-authored output without commensurate review accelerates <a href=""Codebase Cognitive Debt"">Codebase Cognitive Debt</a>. Teams should keep deterministic quality gates (linters, type checks, unit and integration tests, SAST/SCA, secret scanning) in the agent&#39;s loop, treat AI outputs as starting points for expert review, and respect company policy on what code, data, and IP may leave the boundary.</p>"
AI for requirements,adopt,Patterns and Practices,TRUE,new,"<p>Generative AI is collapsing the early stages of product development — requirements articulation, UI exploration, and prototyping — from a multi-week, multi-role process into hours, sometimes a single working session.</p> <p>We see three complementary patterns:</p> <ul> <li><strong>Articulating requirements</strong>: BAs and PMs combine general-purpose LLMs (<a href=""https://chatgpt.com"">ChatGPT</a>, <a href=""https://claude.ai"">Claude</a>) with productivity AI embedded in their tools (<a href=""https://www.atlassian.com/software/rovo"">Atlassian Rovo</a>, <a href=""https://www.notion.com/product/ai"">Notion AI</a>) and purpose-built platforms like <a href=""https://www.aha.io/"">Aha!</a>, <a href=""https://www.productboard.com/"">Productboard</a>, <a href=""https://linear.app/"">Linear</a>, or <a href=""https://www.scopemaster.com/"">ScopeMaster</a> — turning raw ideas into well-formed user stories (applying INVEST to story shape and <a href=""https://cucumber.io/docs/gherkin/"">Gherkin</a> for acceptance criteria), running adversarial reviews (&quot;what could go wrong here?&quot;), and synthesizing stakeholder interviews into themes and open questions through research-focused tools like <a href=""https://dovetail.com/"">Dovetail</a> or <a href=""https://www.notably.ai/"">Notably</a>.</li> <li><strong>UI mockups</strong>: Designers go from prompt or sketch to interactive draft using AI-native design tools including <a href=""https://v0.app"">v0</a>, <a href=""https://www.figma.com/make/"">Figma Make</a>, <a href=""https://www.usegalileo.ai/"">Galileo AI</a>, and <a href=""https://uxpilot.ai/"">UX Pilot</a> — or <a href=""https://www.anthropic.com/news/artifacts"">Claude Artifacts</a> for throwaway concepts inside a chat. Vision-capable LLMs make screenshot-to-code reliable for digitizing reference screens and hand-drawn ideas.</li> <li><strong>Rapid prototyping</strong>: Prompt-to-app builders such as <a href=""https://bolt.new/"">Bolt.new</a>, <a href=""https://lovable.dev/"">Lovable</a>, and <a href=""https://replit.com/ai"">Replit Agent</a> scaffold full-stack prototypes from a single prompt; agentic IDEs like <a href=""https://cursor.com/"">Cursor</a>, <a href=""https://windsurf.com/"">Windsurf</a>, and <a href=""https://www.anthropic.com/claude-code"">Claude Code</a> are then used to iterate against the team&#39;s own repository when the codebase needs to survive past the prototype.</li> </ul> <p>The compounding effect matters more than any single tool. Stakeholders now react to clickable software during discovery itself, surfacing misunderstandings that previously appeared only in sprint demos.</p> <p>We are moving this practice to <strong>Adopt</strong> — teams that build these patterns into their discovery workflow consistently surface misunderstandings earlier and move faster. The caveats are guardrails, not blockers: AI-generated requirements can be confidently wrong, AI-generated UIs trend toward visual homogeneity and miss edge cases, and prototype polish creates false confidence about production readiness — especially in regulated environments. Teams should also respect trademarks, design patents, and source attribution — AI-generated UIs derived from third-party references must be reviewed for IP cleanliness before use in production. Teams should treat outputs as <strong>starting points for expert conversation</strong>, not finished artifacts.</p>"
